     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3        descriptor_4        descriptor_5
        38   -0.6543344831E+01   -0.6475127164E+01    0.4641807249E+01    0.1280000000E+02    0.6200000000E+01    0.4655000000E+00    0.3763471140E+00
        39   -0.1035408707E+02   -0.9970423660E+01    0.1160451812E+02    0.2546000000E+02    0.1108000000E+02    0.8301003344E+00    0.5627108574E+00
        40   -0.8535681043E+01   -0.8547649774E+01    0.7736345414E+01    0.2352000000E+02    0.1020000000E+02    0.8301003344E+00    0.5399199025E+00
        41   -0.7794834356E+01   -0.7882812539E+01    0.5802259061E+01    0.2332000000E+02    0.9760000000E+01    0.8301003344E+00    0.5146527452E+00
        42   -0.7220717280E+01   -0.7359007433E+01    0.4641807249E+01    0.2290000000E+02    0.1008000000E+02    0.8301003344E+00    0.4949502300E+00
        43   -0.9404947488E+01   -0.9460894888E+01    0.1160451812E+02    0.1446666667E+02    0.3466666667E+01    0.2172500000E+00    0.4535896638E+00
        44   -0.7915852959E+01   -0.8069367965E+01    0.7736345414E+01    0.1393333333E+02    0.3466666667E+01    0.2172500000E+00    0.4367856074E+00
        45   -0.7339019850E+01   -0.7306656818E+01    0.5802259061E+01    0.1320000000E+02    0.3533333333E+01    0.2172500000E+00    0.4241731506E+00
        46   -0.6872577825E+01   -0.6866524695E+01    0.4641807249E+01    0.1270000000E+02    0.3333333333E+01    0.2172500000E+00    0.4119327368E+00
        47   -0.9964320946E+01   -0.9318339485E+01    0.1160451812E+02    0.1643636364E+02    0.8545454546E+01    0.3963636364E+00    0.5913604684E+00
        48   -0.8250322175E+01   -0.7918092672E+01    0.7736345414E+01    0.1680000000E+02    0.9272727273E+01    0.3963636364E+00    0.5762917393E+00
        49   -0.7579014753E+01   -0.7283965020E+01    0.5802259061E+01    0.1663636364E+02    0.8690909091E+01    0.3963636364E+00    0.5539026027E+00
        50   -0.7058814476E+01   -0.6804075425E+01    0.4641807249E+01    0.1501818182E+02    0.7854545455E+01    0.3963636364E+00    0.5343691519E+00
        51   -0.8257174368E+01   -0.8806604351E+01    0.1160451812E+02    0.1378571429E+02    0.1002380952E+02    0.7181250000E+00    0.5273090034E+00
        52   -0.7336286271E+01   -0.7475608280E+01    0.7736345414E+01    0.1385714286E+02    0.1016666667E+02    0.7181250000E+00    0.5188399686E+00
        53   -0.6807875284E+01   -0.6785552986E+01    0.5802259061E+01    0.1321428571E+02    0.9642857143E+01    0.7181250000E+00    0.4970239081E+00
        54   -0.6373681617E+01   -0.6332020136E+01    0.4641807249E+01    0.1248809524E+02    0.9142857143E+01    0.7181250000E+00    0.4703652049E+00
        55   -0.7838608532E+01   -0.8444888030E+01    0.1160451812E+02    0.1220238095E+02    0.9690476191E+01    0.2720000000E+00    0.4915078839E+00
        56   -0.6968753939E+01   -0.7090423070E+01    0.7736345414E+01    0.1189285714E+02    0.9523809524E+01    0.2720000000E+00    0.4705097706E+00
        57   -0.6538576426E+01   -0.6418737310E+01    0.5802259061E+01    0.1105952381E+02    0.8857142857E+01    0.2720000000E+00    0.4561878198E+00
        58   -0.6196685620E+01   -0.5993327891E+01    0.4641807249E+01    0.1094047619E+02    0.8785714286E+01    0.2720000000E+00    0.4414677920E+00
        59   -0.8066179676E+01   -0.8620158453E+01    0.1160451812E+02    0.1555952381E+02    0.1288095238E+02    0.7253333333E+00    0.5444334872E+00
        60   -0.7201876841E+01   -0.7299840998E+01    0.7736345414E+01    0.1516666667E+02    0.1238095238E+02    0.7253333333E+00    0.5212051302E+00
        61   -0.6681814603E+01   -0.6623120878E+01    0.5802259061E+01    0.1467857143E+02    0.1200000000E+02    0.7253333333E+00    0.5071845922E+00
        62   -0.6312355997E+01   -0.6248855088E+01    0.4641807249E+01    0.1460714286E+02    0.1166666667E+02    0.7253333333E+00    0.4962334050E+00
