     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3
       177   -0.6650704413E+01   -0.6589431848E+01    0.5802259061E+01    0.1246428571E+02    0.8000000000E+00
       178   -0.6304010513E+01   -0.6163751197E+01    0.4641807249E+01    0.1207142857E+02    0.8000000000E+00
       179   -0.9117447657E+01   -0.8974584490E+01    0.7736345414E+01    0.2460000000E+02    0.2500000000E+00
       180   -0.7906094813E+01   -0.8306615790E+01    0.5802259061E+01    0.2445000000E+02    0.2500000000E+00
       181   -0.7575282667E+01   -0.7773468255E+01    0.4641807249E+01    0.2275000000E+02    0.2500000000E+00
       182   -0.1123586207E+02   -0.8980717826E+01    0.7736345414E+01    0.2210000000E+02    0.9090909091E-01
       183   -0.9368553292E+01   -0.8325081392E+01    0.5802259061E+01    0.2210000000E+02    0.9090909091E-01
       184   -0.7839101782E+01   -0.7882370469E+01    0.4641807249E+01    0.2150000000E+02    0.9090909091E-01
       185   -0.1083327394E+02   -0.1005628749E+02    0.1160451812E+02    0.2180769231E+02    0.2500000000E+00
       186   -0.8924123623E+01   -0.8672285881E+01    0.7736345414E+01    0.2092307692E+02    0.2500000000E+00
       187   -0.8269525237E+01   -0.8032460044E+01    0.5802259061E+01    0.2111538462E+02    0.2500000000E+00
       188   -0.7467661734E+01   -0.7575835796E+01    0.4641807249E+01    0.2034615385E+02    0.2500000000E+00
       189   -0.1017717205E+02   -0.1013824375E+02    0.1160451812E+02    0.2030000000E+02    0.9523809524E-01
       190   -0.9121209243E+01   -0.8794084842E+01    0.7736345414E+01    0.1990000000E+02    0.9523809524E-01
       191   -0.7713197631E+01   -0.8097340856E+01    0.5802259061E+01    0.1940000000E+02    0.9523809524E-01
       192   -0.7244152358E+01   -0.7564193320E+01    0.4641807249E+01    0.1770000000E+02    0.9523809524E-01
       193   -0.1099432812E+02   -0.9355562290E+01    0.7736345414E+01    0.2750000000E+02    0.1428571429E+00
       194   -0.8231163859E+01   -0.8576603202E+01    0.5802259061E+01    0.2600000000E+02    0.1428571429E+00
       195   -0.7518007945E+01   -0.8011939877E+01    0.4641807249E+01    0.2391666667E+02    0.1428571429E+00
       196   -0.1099237132E+02   -0.1031463265E+02    0.1160451812E+02    0.2495000000E+02    0.2500000000E+00
       197   -0.8716010051E+01   -0.8912923163E+01    0.7736345414E+01    0.2385000000E+02    0.2500000000E+00
       198   -0.8118851058E+01   -0.8244954463E+01    0.5802259061E+01    0.2370000000E+02    0.2500000000E+00
       199   -0.7426730353E+01   -0.7789911275E+01    0.4641807249E+01    0.2295000000E+02    0.2500000000E+00
       200   -0.1130827995E+02   -0.1063257887E+02    0.1160451812E+02    0.2708333333E+02    0.1428571429E+00
