     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3        descriptor_4
       110   -0.6769534611E+01   -0.6466326888E+01    0.4641807249E+01    0.1158333333E+02    0.6433333333E+01    0.4398492282E+00
       111   -0.8796708040E+01   -0.8797538378E+01    0.1160451812E+02    0.1508000000E+02    0.1096000000E+02    0.5132130432E+00
       112   -0.7631360842E+01   -0.7452204216E+01    0.7736345414E+01    0.1470666667E+02    0.1069333333E+02    0.4906913777E+00
       113   -0.6898200274E+01   -0.6749120844E+01    0.5802259061E+01    0.1374666667E+02    0.9866666667E+01    0.4660490224E+00
       114   -0.6507269748E+01   -0.6294689404E+01    0.4641807249E+01    0.1354666667E+02    0.9973333333E+01    0.4487718943E+00
       115   -0.9209115123E+01   -0.8821481532E+01    0.1160451812E+02    0.1429333333E+02    0.1037333333E+02    0.5346535141E+00
       116   -0.7699190047E+01   -0.7483941680E+01    0.7736345414E+01    0.1357333333E+02    0.9626666667E+01    0.5073695141E+00
       117   -0.6976562632E+01   -0.6751174187E+01    0.5802259061E+01    0.1317333333E+02    0.9600000000E+01    0.4830594079E+00
       118   -0.6518026947E+01   -0.6314721400E+01    0.4641807249E+01    0.1248000000E+02    0.8960000000E+01    0.4588700691E+00
       119   -0.9185977570E+01   -0.8772349163E+01    0.1160451812E+02    0.1400000000E+02    0.9946666667E+01    0.5008052752E+00
       120   -0.7662536403E+01   -0.7420292243E+01    0.7736345414E+01    0.1368000000E+02    0.9706666667E+01    0.4734526274E+00
       121   -0.6968416208E+01   -0.6716282037E+01    0.5802259061E+01    0.1320000000E+02    0.9440000000E+01    0.4544296149E+00
       122   -0.6533169192E+01   -0.6266875413E+01    0.4641807249E+01    0.1285333333E+02    0.9360000000E+01    0.4369731349E+00
       123   -0.9189391343E+01   -0.9269635831E+01    0.1160451812E+02    0.1998333333E+02    0.1186666667E+02    0.5399550621E+00
       124   -0.7786104000E+01   -0.7795950254E+01    0.7736345414E+01    0.1843333333E+02    0.1113333333E+02    0.4888876963E+00
       125   -0.7249148162E+01   -0.7238973308E+01    0.5802259061E+01    0.1845000000E+02    0.1083333333E+02    0.5163196919E+00
       126   -0.6809951665E+01   -0.6746261021E+01    0.4641807249E+01    0.1796666667E+02    0.1080000000E+02    0.4867835748E+00
       127   -0.9081007405E+01   -0.8813738155E+01    0.1160451812E+02    0.1380000000E+02    0.9760000000E+01    0.5222275780E+00
       128   -0.7641392634E+01   -0.7431530591E+01    0.7736345414E+01    0.1317333333E+02    0.9386666667E+01    0.4884547781E+00
       129   -0.6939259259E+01   -0.6753919211E+01    0.5802259061E+01    0.1301333333E+02    0.9200000000E+01    0.4701138314E+00
       130   -0.6465216890E+01   -0.6250409327E+01    0.4641807249E+01    0.1228000000E+02    0.8986666667E+01    0.4383059161E+00
       131   -0.8800885899E+01   -0.8793469638E+01    0.1160451812E+02    0.1434666667E+02    0.1064000000E+02    0.5327485619E+00
       132   -0.7607668296E+01   -0.7457482064E+01    0.7736345414E+01    0.1381333333E+02    0.1008000000E+02    0.5068353678E+00
       133   -0.6924314021E+01   -0.6720061256E+01    0.5802259061E+01    0.1328000000E+02    0.1000000000E+02    0.4843464375E+00
       134   -0.6509957557E+01   -0.6308906599E+01    0.4641807249E+01    0.1324000000E+02    0.9866666667E+01    0.4666890446E+00
       135   -0.7981166889E+01   -0.8600274853E+01    0.1160451812E+02    0.1433750000E+02    0.1205000000E+02    0.5154388689E+00
       136   -0.7061834978E+01   -0.7240011224E+01    0.7736345414E+01    0.1385000000E+02    0.1172500000E+02    0.4881211191E+00
       137   -0.6461672741E+01   -0.6525289472E+01    0.5802259061E+01    0.1295000000E+02    0.1102500000E+02    0.4615343575E+00
       138   -0.6244505041E+01   -0.6223773663E+01    0.4641807249E+01    0.1346250000E+02    0.1095000000E+02    0.4733597568E+00
       139   -0.8231107142E+01   -0.8781034339E+01    0.1160451812E+02    0.1546250000E+02    0.1220000000E+02    0.5554449625E+00
       140   -0.7216520310E+01   -0.7395513841E+01    0.7736345414E+01    0.1438750000E+02    0.1140000000E+02    0.5198448420E+00
       141   -0.6663088151E+01   -0.6737564763E+01    0.5802259061E+01    0.1457500000E+02    0.1147500000E+02    0.5077152197E+00
       142   -0.6340609399E+01   -0.6326490884E+01    0.4641807249E+01    0.1412500000E+02    0.1110000000E+02    0.4985648112E+00
       143   -0.8228729799E+01   -0.8689556835E+01    0.1160451812E+02    0.1585000000E+02    0.1300000000E+02    0.5334624652E+00
       144   -0.7247450203E+01   -0.7384518848E+01    0.7736345414E+01    0.1528750000E+02    0.1240000000E+02    0.5227361764E+00
       145   -0.6652501465E+01   -0.6688752307E+01    0.5802259061E+01    0.1433750000E+02    0.1167500000E+02    0.5071795474E+00
       146   -0.6236691911E+01   -0.6239779956E+01    0.4641807249E+01    0.1397500000E+02    0.1135000000E+02    0.4766587460E+00
       147   -0.9487380604E+01   -0.9667211454E+01    0.1160451812E+02    0.1731578947E+02    0.7789473684E+01    0.6546083973E+00
       148   -0.8221768049E+01   -0.8273882966E+01    0.7736345414E+01    0.1715789474E+02    0.8070175439E+01    0.6272635979E+00
       149   -0.7450361430E+01   -0.7584100184E+01    0.5802259061E+01    0.1671929825E+02    0.7789473684E+01    0.6124753097E+00
       150   -0.7016113171E+01   -0.7102106165E+01    0.4641807249E+01    0.1645614035E+02    0.7824561403E+01    0.5803557364E+00
       151   -0.8752368839E+01   -0.9405722853E+01    0.1160451812E+02    0.1497368421E+02    0.3052631579E+01    0.3747171833E+00
       152   -0.7713498198E+01   -0.8043670291E+01    0.7736345414E+01    0.1439473684E+02    0.2947368421E+01    0.3641763805E+00
