"Unnamed: 0" formula diff_coeff_mul_thousand temperature AAV LBI SDLI SBI ENS RBI AFC AASD VPA LASD LLSD LNC SDLC LLB SNC RNC PF SPF SLPW SLPW_pp SLPE Li_percentage avg_B_with_Li avg_B_wiout_Li avg_G_with_Li avg_G_wiout_Li avg_Ecoh_with_Li avg_Echo_wiout_Li BR5_M_with_Li BR5_M_without_Li GR5_M_with_Li GR5_M_without_Li ER2_m_with_Li ER2_m_without_Li atomic_radius_avg atomic_radius_avg_exclude_Li ratio_r_without_Li_with avg_m_with_Li avg_m_wiout_Li avg_X_with_Li avg_X_wiout_Li avg_diff_of_X_Li_rest
30 Li(TiSe2)3 0.3742532 1000 25.1621071227 1.201 0.5665138127 0.4903603604 2.2133333333 2.4492191806 3.6333333333 3.4571754295 83.8736904089 3.5239441003 3.7553823674 9.1 1.8138357147 0.8 11.1 0.8198198198000001 0.4120710564 0.3771593151 -0.1601029328 1.1316653814 2.09 0.1 38.3 41.0 390.09999999999997 433.0 3.466480659 3.6731350644444443 1.3820104864884522 1.3060047638356163 4.4106228856105965 4.244209185118613 0.2957268473397558 0.28539777155327417 1.255 1.2333333333333332 0.9827357237715802 62.4302 68.59566666666666 2.09 2.213333333333333 0.12333333333333307
31 Li(TiSe2)3 0.6631803 1500 26.2765838602 1.1838372093 0.5733774302 0.5223456790000001 2.2133333333 2.2663865269 3.0666666667 3.3677638868 87.5886128674 3.3074489474 4.1071221439 8.7 1.1 0.8 9.9 0.8787878788 0.3945937615 0.3611627424 -0.1601029328 1.1316653814 2.09 0.1 38.3 41.0 390.09999999999997 433.0 3.466480659 3.6731350644444443 1.3820104864884522 1.3060047638356163 4.4106228856105965 4.244209185118613 0.2957268473397558 0.28539777155327417 1.255 1.2333333333333332 0.9827357237715802 62.4302 68.59566666666666 2.09 2.213333333333333 0.12333333333333307
32 Li(TiSe2)3 1.0896552 2000 26.7505521324 1.1304705882 0.5990536157 0.5441084337000001 2.2133333333 2.0776568017 3.3666666667 3.6079157571 89.1685071079 3.2971391401 3.1377051872 8.6 1.1135528726 1.0 9.2222222222 0.9325301205 0.3876023198 0.3547636341 -0.0414234578 1.2363261046 2.247 0.1 38.3 41.0 390.09999999999997 433.0 3.466480659 3.6731350644444443 1.3820104864884522 1.3060047638356163 4.4106228856105965 4.244209185118613 0.2957268473397558 0.28539777155327417 1.255 1.2333333333333332 0.9827357237715802 62.4302 68.59566666666666 2.09 2.213333333333333 0.12333333333333307
33 Li(TiSe2)3 1.6700615 2500 27.035071161 1.2765384615 0.5147655158000001 0.5530822711 2.2133333333 2.3080444414 3.5 3.485766442 90.1169038699 3.3489417845 4.186400235 7.9 1.0440306509 0.4 9.5888888889 0.8238702202 0.3835231652 0.3510300761 -0.0682925288 1.1612479417 2.449 0.1 38.3 41.0 390.09999999999997 433.0 3.466480659 3.6731350644444443 1.3820104864884522 1.3060047638356163 4.4106228856105965 4.244209185118613 0.2957268473397558 0.28539777155327417 1.255 1.2333333333333332 0.9827357237715802 62.4302 68.59566666666666 2.09 2.213333333333333 0.12333333333333307
34 Li10Si9Ge 0.1382969 1000 17.2200791752 0.4985391304 0.4652507769 0.5442322097 1.911 0.9160412073 3.25 2.5974914972 38.2668426116 2.5346202957 2.6054611696 14.4 1.5297058541 6.7 13.35 1.0786516854 0.4257878247 0.1707213507 0.427868258 1.607379309 1.5485 0.5 47.300000000000004 80.60000000000001 31.7 59.4 3.0588280892500004 4.511065168500001 2.8832991608135696 2.066044043949429 2.36041717659011 1.7736391935232003 0.5048363398391079 0.41514451488086235 1.2825 1.115 0.8693957115009747 19.740975000000002 32.54095 1.4455 1.911 0.4655
35 Li10Si9Ge 0.4644612 1500 17.9999170495 0.5058781362 0.4652432832 0.5291712707 1.911 0.9559818611 3.5555555556 2.678653386 39.9998156654 2.5245014332 2.5917169363 13.975 1.3872184399 6.4 13.575 1.02946593 0.407340769 0.1633249291 0.5337664974 1.7019331403 1.56325 0.5 47.300000000000004 80.60000000000001 31.7 59.4 3.0588280892500004 4.511065168500001 2.8832991608135696 2.066044043949429 2.36041717659011 1.7736391935232003 0.5048363398391079 0.41514451488086235 1.2825 1.115 0.8693957115009747 19.740975000000002 32.54095 1.4455 1.911 0.4655
36 Li10Si9Ge 0.8968365 2000 18.5656954222 0.4837477477 0.4668943137 0.5296108949 1.911 0.9134021833 3.25 2.6251837855 41.2571009381 2.4759148319 2.5401443984 13.9 1.410673598 6.7 12.85 1.0817120623 0.3949273047 0.1583477003 0.2921120162 1.4592885452 1.589 0.5 47.300000000000004 80.60000000000001 31.7 59.4 3.0588280892500004 4.511065168500001 2.8832991608135696 2.066044043949429 2.36041717659011 1.7736391935232003 0.5048363398391079 0.41514451488086235 1.2825 1.115 0.8693957115009747 19.740975000000002 32.54095 1.4455 1.911 0.4655
37 Li10Si9Ge 1.4396650000000002 2500 19.4822805359 0.4811154599 0.4664693056 0.4802490421 1.911 1.0018041009 3.5833333333 2.7272563246 43.2939567464 2.4627909633 2.5236521941 12.8 1.6 6.2 13.05 0.9808429119 0.376347114 0.1508978977 0.4169661445 1.5968556746 1.5145 0.5 47.300000000000004 80.60000000000001 31.7 59.4 3.0588280892500004 4.511065168500001 2.8832991608135696 2.066044043949429 2.36041717659011 1.7736391935232003 0.5048363398391079 0.41514451488086235 1.2825 1.115 0.8693957115009747 19.740975000000002 32.54095 1.4455 1.911 0.4655
38 Li10Zn4O9 0.0318623 1000 9.9756589386 1.0555974843 1.1220349578 1.1755568379 2.8892307692 0.8979552926000001 4.3 3.2896787495 57.3600388972 2.6464760133 2.2581772543 25.46 1.8890209104 11.08 26.6615384615 0.9549336411 0.5627108574 0.1798428397 0.1342270321 1.0484135014 1.7984 0.43478260869565216 20.086956521739133 24.769230769230774 8.956521739130435 12.76923076923077 2.22511554951087 2.7009036568269233 1.251518680189726 0.5604844767776989 0.8356991466230883 0.40242939616726886 0.36105014446980116 0.2444225500781648 1.0999999999999999 0.8307692307692306 0.7552447552447552 20.653939130434782 31.20235384615384 2.0591304347826087 2.889230769230769 0.8301003344481601
39 Li10Zn4O9 0.1963364 1500 10.3967487925 1.047012766 1.1169751137 1.1653571429 2.8892307692 0.8984479757 2.5 2.9964020263 59.781305557 2.5889900934 2.3650289354 23.52 2.0123617965 10.2 24.9846153846 0.9413793103 0.5399199025 0.1725588323 0.0879539839 1.011887576 1.8118 0.43478260869565216 20.086956521739133 24.769230769230774 8.956521739130435 12.76923076923077 2.22511554951087 2.7009036568269233 1.251518680189726 0.5604844767776989 0.8356991466230883 0.40242939616726886 0.36105014446980116 0.2444225500781648 1.0999999999999999 0.8307692307692306 0.7552447552447552 20.653939130434782 31.20235384615384 2.0591304347826087 2.889230769230769 0.8301003344481601
