formula lnD PF RNC SBI SDLC RBI ENS SDLI SLPE LLB avg_diff_of_X_Li_rest ratio_r_without_Li_with SPF LNC AFC Li_percentage LBI avg_X_with_Li SNC avg_B_wiout_Li avg_G_wiout_Li avg_B_with_Li avg_X_wiout_Li avg_G_with_Li avg_Ecoh_with_Li avg_Echo_wiout_Li avg_m_wiout_Li avg_m_with_Li BR5_M_without_Li GR5_M_without_Li GR5_M_with_Li BR5_M_with_Li ER2_m_without_Li ER2_m_with_Li atomic_radius_avg_exclude_Li LASD SLPW LLSD atomic_radius_avg AASD SLPW_pp VPA AAV inverseTemp
Li(TiSe2)3 -7.89057798426689 0.4120710564 0.8198198198000001 0.4903603604 1.8138357147 2.4492191806 2.2133333333 0.5665138127 2.09 0.8 0.123333333333333 0.9827357237715802 0.3771593151 9.1 3.6333333333 0.1 1.201 2.09 11.1 41.0 433.0 38.3 2.213333333333333 390.1 3.466480659 3.673135064444444 68.59566666666666 62.4302 1.3060047638356165 4.244209185118613 4.4106228856105965 1.3820104864884522 0.2853977715532741 0.2957268473397558 1.2333333333333332 3.5239441003 -0.1601029328 3.7553823674 1.255 3.4571754295 1.1316653814 83.8736904089 25.1621071227 1.0
Li(TiSe2)3 -7.318463659047584 0.3945937615 0.8787878788 0.5223456790000001 1.1 2.2663865269 2.2133333333 0.5733774302 2.09 0.8 0.123333333333333 0.9827357237715802 0.3611627424 8.7 3.0666666667 0.1 1.1838372093 2.09 9.9 41.0 433.0 38.3 2.213333333333333 390.1 3.466480659 3.673135064444444 68.59566666666666 62.4302 1.3060047638356165 4.244209185118613 4.4106228856105965 1.3820104864884522 0.2853977715532741 0.2957268473397558 1.2333333333333332 3.3074489474 -0.1601029328 4.1071221439 1.255 3.3677638868 1.1316653814 87.5886128674 26.2765838602 0.6666666666666666
Li(TiSe2)3 -6.821893963059289 0.3876023198 0.9325301205 0.5441084337000001 1.1135528726 2.0776568017 2.2133333333 0.5990536157 2.247 1.0 0.123333333333333 0.9827357237715802 0.3547636341 8.6 3.3666666667 0.1 1.1304705882 2.09 9.2222222222 41.0 433.0 38.3 2.213333333333333 390.1 3.466480659 3.673135064444444 68.59566666666666 62.4302 1.3060047638356165 4.244209185118613 4.4106228856105965 1.3820104864884522 0.2853977715532741 0.2957268473397558 1.2333333333333332 3.2971391401 -0.0414234578 3.1377051872 1.255 3.6079157571 1.2363261046 89.1685071079 26.7505521324 0.5
Li(TiSe2)3 -6.394894826884241 0.3835231652 0.8238702202 0.5530822711 1.0440306509 2.3080444414 2.2133333333 0.5147655158000001 2.449 0.4 0.123333333333333 0.9827357237715802 0.3510300761 7.9 3.5 0.1 1.2765384615 2.09 9.5888888889 41.0 433.0 38.3 2.213333333333333 390.1 3.466480659 3.673135064444444 68.59566666666666 62.4302 1.3060047638356165 4.244209185118613 4.4106228856105965 1.3820104864884522 0.2853977715532741 0.2957268473397558 1.2333333333333332 3.3489417845 -0.0682925288 4.186400235 1.255 3.485766442 1.1612479417 90.1169038699 27.035071161 0.4
Li10Si9Ge -8.88610773458455 0.4257878247 1.0786516854 0.5442322097 1.5297058541 0.9160412073 1.911 0.4652507769 1.5485 6.7 0.4655 0.8693957115009747 0.1707213507 14.4 3.25 0.5 0.4985391304 1.4455 13.35 80.60000000000001 59.4 47.3 1.911 31.7 3.0588280892500004 4.511065168500001 32.54095 19.740975 2.066044043949429 1.7736391935232003 2.36041717659011 2.8832991608135696 0.4151445148808623 0.5048363398391079 1.115 2.5346202957 0.427868258 2.6054611696 1.2825 2.5974914972 1.607379309 38.2668426116 17.2200791752 1.0
Li10Si9Ge -7.674632533877411 0.407340769 1.02946593 0.5291712707 1.3872184399 0.9559818611 1.911 0.4652432832 1.56325 6.4 0.4655 0.8693957115009747 0.1633249291 13.975 3.5555555556 0.5 0.5058781362 1.4455 13.575 80.60000000000001 59.4 47.3 1.911 31.7 3.0588280892500004 4.511065168500001 32.54095 19.740975 2.066044043949429 1.7736391935232003 2.36041717659011 2.8832991608135696 0.4151445148808623 0.5048363398391079 1.115 2.5245014332 0.5337664974 2.5917169363 1.2825 2.678653386 1.7019331403 39.9998156654 17.9999170495 0.6666666666666666
Li10Si9Ge -7.016636986766939 0.3949273047 1.0817120623 0.5296108949 1.410673598 0.9134021833 1.911 0.4668943137 1.589 6.7 0.4655 0.8693957115009747 0.1583477003 13.9 3.25 0.5 0.4837477477 1.4455 12.85 80.60000000000001 59.4 47.3 1.911 31.7 3.0588280892500004 4.511065168500001 32.54095 19.740975 2.066044043949429 1.7736391935232003 2.36041717659011 2.8832991608135696 0.4151445148808623 0.5048363398391079 1.115 2.4759148319 0.2921120162 2.5401443984 1.2825 2.6251837855 1.4592885452 41.2571009381 18.5656954222 0.5
Li10Si9Ge -6.54334483134774 0.376347114 0.9808429119 0.4802490421 1.6 1.0018041009 1.911 0.4664693056 1.5145 6.2 0.4655 0.8693957115009747 0.1508978977 12.8 3.5833333333 0.5 0.4811154599 1.4455 13.05 80.60000000000001 59.4 47.3 1.911 31.7 3.0588280892500004 4.511065168500001 32.54095 19.740975 2.066044043949429 1.7736391935232003 2.36041717659011 2.8832991608135696 0.4151445148808623 0.5048363398391079 1.115 2.4627909633 0.4169661445 2.5236521941 1.2825 2.7272563246 1.5968556746 43.2939567464 19.4822805359 0.4
Li10Zn4O9 -10.354087065253102 0.5627108574 0.9549336411 1.1755568379 1.8890209104 0.8979552926000001 2.8892307692 1.1220349578 1.7984 11.08 0.8301003344481601 0.7552447552447552 0.1798428397 25.46 4.3 0.4347826086956521 1.0555974843 2.0591304347826087 26.6615384615 24.769230769230774 12.76923076923077 20.086956521739133 2.889230769230769 8.956521739130435 2.22511554951087 2.700903656826924 31.20235384615384 20.653939130434782 0.5604844767776989 0.4024293961672688 0.8356991466230883 1.251518680189726 0.2444225500781648 0.3610501444698011 0.8307692307692306 2.6464760133 0.1342270321 2.2581772543 1.1 3.2896787495 1.0484135014 57.3600388972 9.9756589386 1.0
Li10Zn4O9 -8.535681043408387 0.5399199025 0.9413793103 1.1653571429 2.0123617965 0.8984479757 2.8892307692 1.1169751137 1.8118 10.2 0.8301003344481601 0.7552447552447552 0.1725588323 23.52 2.5 0.4347826086956521 1.047012766 2.0591304347826087 24.9846153846 24.769230769230774 12.76923076923077 20.086956521739133 2.889230769230769 8.956521739130435 2.22511554951087 2.700903656826924 31.20235384615384 20.653939130434782 0.5604844767776989 0.4024293961672688 0.8356991466230883 1.251518680189726 0.2444225500781648 0.3610501444698011 0.8307692307692306 2.5889900934 0.0879539839 2.3650289354 1.1 2.9964020263 1.011887576 59.781305557 10.3967487925 0.6666666666666666
